,id,username,date,retweet
791,1297861023269941249,radioelshinta,2020-08-24,@ElshintaTegal_
793,1297806496990814209,radioelshinta,2020-08-24,@ElshintaTegal_
794,1297806165158457350,radioelshinta,2020-08-24,@ElshintaDotcom
798,1297792821215129600,radioelshinta,2020-08-24,@ElshintaTegal_
800,1297423877006491650,radioelshinta,2020-08-23,@AshaaMW
802,1297079811181916160,radioelshinta,2020-08-22,@AndyJuliyanto22
804,1296897538599968769,radioelshinta,2020-08-22,@ElshintaTegal_
806,1296471792614289414,radioelshinta,2020-08-20,@TopToross
811,1295794863615557632,radioelshinta,2020-08-19,@PAKAIMASKERNYA
812,1295714849478053889,radioelshinta,2020-08-18,@liranti
814,1294742881001906176,radioelshinta,2020-08-16,@ElshintaTegal_
815,1294661529489436672,radioelshinta,2020-08-15,@OpRadioBnpb
817,1294597257178656769,radioelshinta,2020-08-15,@tinbos
819,1294539377368997888,radioelshinta,2020-08-15,@nurauliaip
823,1294079184428347393,radioelshinta,2020-08-14,@noni__aja
824,1293720969257787396,radioelshinta,2020-08-13,@Riz_Rizuka
825,1293705100121108481,radioelshinta,2020-08-13,@BrowSniperBack
826,1293645719568441346,radioelshinta,2020-08-13,@ElshintaTegal_
827,1293597016161832962,radioelshinta,2020-08-13,@Hafil7291
828,1293473500129239040,radioelshinta,2020-08-12,@kartikahari13
829,1293469681949450241,radioelshinta,2020-08-12,@ElshintaTegal_
831,1293300280226766848,radioelshinta,2020-08-12,@FajarThama
832,1293284943473152000,radioelshinta,2020-08-12,@ElshintaTegal_
834,1293249551759892481,radioelshinta,2020-08-12,@FajarThama
835,1293242891913932800,radioelshinta,2020-08-12,@ElshintaTegal_
836,1293236409831051264,radioelshinta,2020-08-12,@ElshintaTegal_
838,1293219530257252352,radioelshinta,2020-08-11,@ElshintaTegal_
841,1293063970270539777,radioelshinta,2020-08-11,@ariblackcrow
842,1293053823456403463,radioelshinta,2020-08-11,@ElshintaTegal_
843,1293002379583877121,radioelshinta,2020-08-11,@agungsolusi25
844,1293002202542272512,radioelshinta,2020-08-11,@arisaijaz
846,1293001808818786304,radioelshinta,2020-08-11,@ElshintaTegal_
847,1292961166319210497,radioelshinta,2020-08-11,@mEiZARo
848,1292892041165205504,radioelshinta,2020-08-11,@windadwiandari
855,1291678668234743809,radioelshinta,2020-08-07,@ElshintaTegal_
859,1291534816739909632,radioelshinta,2020-08-07,@biofarmaID
860,1291488599020408832,radioelshinta,2020-08-07,@badonci
865,1290869676596056064,radioelshinta,2020-08-05,@elshinta_smg
869,1290616301077987328,radioelshinta,2020-08-04,@kpu_jabarprov
870,1290606760558858241,radioelshinta,2020-08-04,@bobyidol
876,1289898543159762945,radioelshinta,2020-08-02,@AndyJuliyanto22
879,1289560098260410368,radioelshinta,2020-08-01,@Lukmanharijant4
880,1289559769976467456,radioelshinta,2020-08-01,@AndyJuliyanto22
881,1378502235013832707,radioelshinta,2021-04-04,@niee_aniest
882,1377540484906713095,radioelshinta,2021-04-01,@percayaNgl
884,1377479187099910149,radioelshinta,2021-04-01,@Gennome2
886,1376907472477167616,radioelshinta,2021-03-30,
888,1376757679964647426,radioelshinta,2021-03-30,
889,1376702854006771713,radioelshinta,2021-03-30,
890,1376680060380270594,radioelshinta,2021-03-30,@yusufgunawan
891,1376613881326407680,radioelshinta,2021-03-30,@little_BoyII
895,1375987719587827713,radioelshinta,2021-03-28,
896,1375325818990198788,radioelshinta,2021-03-26,
897,1375277072394899458,radioelshinta,2021-03-26,
898,1375276905369235458,radioelshinta,2021-03-26,
899,1375161813654904835,radioelshinta,2021-03-26,@andisaka16
900,1375095030973489155,radioelshinta,2021-03-25,@ElshintaTegal_
902,1374993644449529860,radioelshinta,2021-03-25,@machista_x
904,1374789359266795525,radioelshinta,2021-03-25,@745L023N6
907,1374556584668372997,radioelshinta,2021-03-24,
908,1374028119552630790,radioelshinta,2021-03-22,@Mujirahadi2
913,1373574055824084993,radioelshinta,2021-03-21,
915,1373443372984070147,radioelshinta,2021-03-21,
916,1373201590794944512,radioelshinta,2021-03-20,@adepedia
917,1373177854188396546,radioelshinta,2021-03-20,@dabenone2
918,1373176252463419394,radioelshinta,2021-03-20,@percayaNgl
919,1373093903675531264,radioelshinta,2021-03-20,
921,1373087350935359490,radioelshinta,2021-03-20,
924,1372881425100275717,radioelshinta,2021-03-19,@MRachmat_
927,1372036601715462147,radioelshinta,2021-03-17,
928,1371987681161318401,radioelshinta,2021-03-17,
931,1371828445559156738,radioelshinta,2021-03-16,@enchante151
942,1371293000744140802,radioelshinta,2021-03-15,@turunBuyutKarti
947,1370677337444941826,radioelshinta,2021-03-13,@rudysatt
949,1370432951008129031,radioelshinta,2021-03-13,@FlorianHijau
953,1369892827686039552,radioelshinta,2021-03-11,@J_Free7
954,1369746883120422913,radioelshinta,2021-03-11,@AnakBabeGw
956,1369602619803541504,radioelshinta,2021-03-10,@branemark1
961,1369078870003961859,radioelshinta,2021-03-09,@ElshintaTegal_
962,1369003736245313536,radioelshinta,2021-03-09,@SugavSumina
967,1368770873398726656,radioelshinta,2021-03-08,@Laduni_Sadja
969,1368753216440078342,radioelshinta,2021-03-08,@elshinta_smg
